latin_name,n_original,n_cleaned,sample_cleaned,sample_removed
Lycoperdon perlatum,181,181,a photo of Lycoperdon perlatum;a photograph of Lycoperdon perlatum;an image of Lycoperdon perlatum;a picture of Lycoperdon perlatum;Lycoperdon perlatum mushroom,
Chlorociboria aeruginascens,107,107,a photo of Chlorociboria aeruginascens;a photograph of Chlorociboria aeruginascens;an image of Chlorociboria aeruginascens;a picture of Chlorociboria aeruginascens;Chlorociboria aeruginascens mushroom,
Amanita muscaria,184,184,a photo of Amanita muscaria;a photograph of Amanita muscaria;an image of Amanita muscaria;a picture of Amanita muscaria;Amanita muscaria mushroom,
Xanthoria parietina,111,111,a photo of Xanthoria parietina;a photograph of Xanthoria parietina;an image of Xanthoria parietina;a picture of Xanthoria parietina;Xanthoria parietina mushroom,
Coprinellus micaceus,133,133,a photo of Coprinellus micaceus;a photograph of Coprinellus micaceus;an image of Coprinellus micaceus;a picture of Coprinellus micaceus;Coprinellus micaceus mushroom,
Mycena leaiana,120,120,a photo of Mycena leaiana;a photograph of Mycena leaiana;an image of Mycena leaiana;a picture of Mycena leaiana;Mycena leaiana mushroom,
Suillus luteus,128,110,a photo of Suillus luteus;a photograph of Suillus luteus;an image of Suillus luteus;a picture of Suillus luteus;Suillus luteus mushroom,a photo of 5 in;a photograph of 5 in;5 in mushroom;5 in fungus;photo of 5 in mushroom
Gyromitra gigas,95,95,a photo of Gyromitra gigas;a photograph of Gyromitra gigas;an image of Gyromitra gigas;a picture of Gyromitra gigas;Gyromitra gigas mushroom,
Laetiporus sulphureus,190,190,a photo of Laetiporus sulphureus;a photograph of Laetiporus sulphureus;an image of Laetiporus sulphureus;a picture of Laetiporus sulphureus;Laetiporus sulphureus mushroom,
Fomitopsis pinicola,102,102,a photo of Fomitopsis pinicola;a photograph of Fomitopsis pinicola;an image of Fomitopsis pinicola;a picture of Fomitopsis pinicola;Fomitopsis pinicola mushroom,
Psilocybe azurescens,178,178,a photo of Psilocybe azurescens;a photograph of Psilocybe azurescens;an image of Psilocybe azurescens;a picture of Psilocybe azurescens;Psilocybe azurescens mushroom,
Cerioporus squamosus,107,107,a photo of Cerioporus squamosus;a photograph of Cerioporus squamosus;an image of Cerioporus squamosus;a picture of Cerioporus squamosus;Cerioporus squamosus mushroom,
Hericium coralloides,109,109,a photo of Hericium coralloides;a photograph of Hericium coralloides;an image of Hericium coralloides;a picture of Hericium coralloides;Hericium coralloides mushroom,
Parmelia sulcata,115,109,a photo of Parmelia sulcata;a photograph of Parmelia sulcata;an image of Parmelia sulcata;a picture of Parmelia sulcata;Parmelia sulcata mushroom,a photo of 4 in;a photograph of 4 in;4 in mushroom;4 in fungus;photo of 4 in mushroom
Evernia prunastri,101,101,a photo of Evernia prunastri;a photograph of Evernia prunastri;an image of Evernia prunastri;a picture of Evernia prunastri;Evernia prunastri mushroom,
Tricholomopsis rutilans,107,107,a photo of Tricholomopsis rutilans;a photograph of Tricholomopsis rutilans;an image of Tricholomopsis rutilans;a picture of Tricholomopsis rutilans;Tricholomopsis rutilans mushroom,
Sarcomyxa serotina,105,105,a photo of Sarcomyxa serotina;a photograph of Sarcomyxa serotina;an image of Sarcomyxa serotina;a picture of Sarcomyxa serotina;Sarcomyxa serotina mushroom,
Boletus edulis,213,213,a photo of Boletus edulis;a photograph of Boletus edulis;an image of Boletus edulis;a picture of Boletus edulis;Boletus edulis mushroom,
Schizophyllum commune,110,110,a photo of Schizophyllum commune;a photograph of Schizophyllum commune;an image of Schizophyllum commune;a picture of Schizophyllum commune;Schizophyllum commune mushroom,
Rhytisma acerinum,108,108,a photo of Rhytisma acerinum;a photograph of Rhytisma acerinum;an image of Rhytisma acerinum;a picture of Rhytisma acerinum;Rhytisma acerinum mushroom,
Leccinum aurantiacum,102,102,a photo of Leccinum aurantiacum;a photograph of Leccinum aurantiacum;an image of Leccinum aurantiacum;a picture of Leccinum aurantiacum;Leccinum aurantiacum mushroom,
Laccaria ochropurpurea,95,95,a photo of Laccaria ochropurpurea;a photograph of Laccaria ochropurpurea;an image of Laccaria ochropurpurea;a picture of Laccaria ochropurpurea;Laccaria ochropurpurea mushroom,
Amanita citrina,126,126,a photo of Amanita citrina;a photograph of Amanita citrina;an image of Amanita citrina;a picture of Amanita citrina;Amanita citrina mushroom,
Grifola frondosa,108,108,a photo of Grifola frondosa;a photograph of Grifola frondosa;an image of Grifola frondosa;a picture of Grifola frondosa;Grifola frondosa mushroom,
