epoch,lr-AdamW,lr-AdamW-momentum,step,test/loss,test/macro_f1,test/macro_iou,test/micro_accuracy,train/loss,train/macro_f1,train/macro_iou,train/micro_accuracy,val/loss,val/macro_f1,val/macro_f1_best,val/macro_iou,val/macro_iou_best,val/micro_accuracy,val/micro_accuracy_best
,0.001,0.9,0,,,,,,,,,,,,,,,
0,,,5386,,,,,,,,,1.4662240743637085,0.5336447954177856,0.5336447954177856,0.3840360939502716,0.3840360939502716,0.6030353307723999,0.6030353307723999
0,,,5386,,,,,2.967151403427124,0.3043709397315979,0.18268850445747375,0.3117530941963196,,,,,,,
,0.0009938503261272714,0.9,5387,,,,,,,,,,,,,,,
1,,,10773,,,,,,,,,1.1370576620101929,0.6398891806602478,0.6398891806602478,0.4898694157600403,0.4898694157600403,0.6905097365379333,0.6905097365379333
1,,,10773,,,,,1.333418369293213,0.6417638659477234,0.4803820252418518,0.6444686055183411,,,,,,,
,0.0009755527298894295,0.9,10774,,,,,,,,,,,,,,,
2,,,16160,,,,,,,,,0.9789628982543945,0.6965413093566895,0.6965413093566895,0.5536818504333496,0.5536818504333496,0.7502561211585999,0.7502561211585999
2,,,16160,,,,,0.8770439624786377,0.7591575980186462,0.6181064248085022,0.76056969165802,,,,,,,
,0.0009455577588320899,0.9,16161,,,,,,,,,,,,,,,
3,,,21547,,,,,,,,,0.865306556224823,0.7293246984481812,0.7293246984481812,0.5921252965927124,0.5921252965927124,0.7807376980781555,0.7807376980781555
3,,,21547,,,,,0.6671605706214905,0.8165305852890015,0.6947625875473022,0.8174149990081787,,,,,,,
,0.0009046039886902865,0.9,21548,,,,,,,,,,,,,,,
4,,,26934,,,,,,,,,0.8385452628135681,0.7443591952323914,0.7443591952323914,0.6096658110618591,0.6096658110618591,0.7936091423034668,0.7936091423034668
4,,,26934,,,,,0.5466640591621399,0.8500126600265503,0.7430039644241333,0.8506366610527039,,,,,,,
,0.0008536998372026806,0.9,26935,,,,,,,,,,,,,,,
5,,,32321,,,,,,,,,0.817647397518158,0.7537325620651245,0.7537325620651245,0.6209001541137695,0.6209001541137695,0.8101946711540222,0.8101946711540222
5,,,32321,,,,,0.4715082049369812,0.8711214661598206,0.7748416662216187,0.8715642690658569,,,,,,,
,0.0007940987335200905,0.9,32322,,,,,,,,,,,,,,,
6,,,37708,,,,,,,,,0.8158584833145142,0.7576680779457092,0.7576680779457092,0.625114381313324,0.625114381313324,0.8105788826942444,0.8105788826942444
6,,,37708,,,,,0.41411757469177246,0.8871049284934998,0.7998021841049194,0.8874608278274536,,,,,,,
,0.0007272682546199038,0.9,37709,,,,,,,,,,,,,,,
7,,,43095,,,,,,,,,0.8837496042251587,0.749208390712738,0.7576680779457092,0.6149765253067017,0.625114381313324,0.8065445423126221,0.8105788826942444
7,,,43095,,,,,0.36998307704925537,0.8993882536888123,0.8193862438201904,0.8996707797050476,,,,,,,
,0.0006548539886902865,0.9,43096,,,,,,,,,,,,,,,
8,,,48482,,,,,,,,,0.8166961669921875,0.7756322026252747,0.7756322026252747,0.6483299732208252,0.6483299732208252,0.8249871730804443,0.8249871730804443
8,,,48482,,,,,0.33533361554145813,0.9091927409172058,0.8354227542877197,0.9094181656837463,,,,,,,
,0.0005786390152875956,0.9,48483,,,,,,,,,,,,,,,
9,,,53869,,,,,,,,,0.7885053753852844,0.7817146182060242,0.7817146182060242,0.6559808254241943,0.6559808254241943,0.8299180269241333,0.8299180269241333
9,,,53869,,,,,0.300929456949234,0.9188656210899353,0.8515465259552002,0.9190465807914734,,,,,,,
,0.0005005000000000002,0.9,53870,,,,,,,,,,,,,,,
10,,,59256,,,,,,,,,0.8192993402481079,0.7735517621040344,0.7817146182060242,0.6452527642250061,0.6559808254241943,0.8244748711585999,0.8299180269241333
10,,,59256,,,,,0.27392029762268066,0.9261237978935242,0.8638362288475037,0.9262675642967224,,,,,,,
,0.000422360984712405,0.9,59257,,,,,,,,,,,,,,,
11,,,64643,,,,,,,,,0.7840179204940796,0.7912720441818237,0.7912720441818237,0.6677964329719543,0.6677964329719543,0.8400358557701111,0.8400358557701111
11,,,64643,,,,,0.2509956657886505,0.9328296780586243,0.8753436207771301,0.9329504370689392,,,,,,,
,0.00034614601130971394,0.9,64644,,,,,,,,,,,,,,,
12,,,70030,,,,,,,,,0.7646210193634033,0.7949569821357727,0.7949569821357727,0.6733243465423584,0.6733243465423584,0.8426613807678223,0.8426613807678223
12,,,70030,,,,,0.2296392023563385,0.938612699508667,0.8854209780693054,0.9387211203575134,,,,,,,
,0.0002737317453800965,0.9,70031,,,,,,,,,,,,,,,
13,,,75417,,,,,,,,,0.7727572321891785,0.797856330871582,0.797856330871582,0.676745593547821,0.676745593547821,0.8450307250022888,0.8450307250022888
13,,,75417,,,,,0.21074818074703217,0.9436924457550049,0.8943600654602051,0.9437840580940247,,,,,,,
,0.00020690126647990978,0.9,75418,,,,,,,,,,,,,,,
14,,,80804,,,,,,,,,0.7357612252235413,0.802511990070343,0.802511990070343,0.6827261447906494,0.6827261447906494,0.8497054576873779,0.8497054576873779
14,,,80804,,,,,0.19433659315109253,0.9481140971183777,0.9022660255432129,0.9481886029243469,,,,,,,
,0.00014730016279731957,0.9,80805,,,,,,,,,,,,,,,
15,,,86191,,,,,,,,,0.7386370897293091,0.804006040096283,0.804006040096283,0.6853086352348328,0.6853086352348328,0.8515625,0.8515625
15,,,86191,,,,,0.18161356449127197,0.9518118500709534,0.908823549747467,0.9518795609474182,,,,,,,
,9.639601130971382e-05,0.9,86192,,,,,,,,,,,,,,,
16,,,91578,,,,,,,,,0.7306357622146606,0.8070849180221558,0.8070849180221558,0.6891221404075623,0.6891221404075623,0.8538678288459778,0.8538678288459778
16,,,91578,,,,,0.17133478820323944,0.9545527696609497,0.9138093590736389,0.9546118974685669,,,,,,,
,5.54422411679103e-05,0.9,91579,,,,,,,,,,,,,,,
17,,,96965,,,,,,,,,0.7162801623344421,0.8094505667686462,0.8094505667686462,0.6929172873497009,0.6929172873497009,0.8547003269195557,0.8547003269195557
17,,,96965,,,,,0.16293054819107056,0.9571405053138733,0.9185327291488647,0.957202136516571,,,,,,,
,2.5447270110570818e-05,0.9,96966,,,,,,,,,,,,,,,
18,,,102352,,,,,,,,,0.7114524841308594,0.809080183506012,0.8094505667686462,0.6922105550765991,0.6929172873497009,0.8548924326896667,0.8548924326896667
18,,,102352,,,,,0.1581953912973404,0.95842045545578,0.9208353757858276,0.9584754705429077,,,,,,,
,7.149673872728741e-06,0.9,102353,,,,,,,,,,,,,,,
19,,,107739,,,,,,,,,0.7091726064682007,0.8121806383132935,0.8121806383132935,0.6962282657623291,0.6962282657623291,0.8566213846206665,0.8566213846206665
19,,,107739,,,,,0.15629427134990692,0.9589977264404297,0.9218729734420776,0.9590469002723694,,,,,,,
20,,,107740,0.7165268063545227,0.8142221570014954,0.6995626091957092,0.8550019264221191,,,,,,,,,,,
