label,prompt,mean_same,max_other,score
Agaricus augustus,Agaricus augustus mushroom with black coloration,-inf,-inf,
Agaricus augustus,mushroom displaying black tones,-inf,-inf,
Agaricus augustus,black-colored Agaricus augustus fungus,-inf,-inf,
Agaricus augustus,photograph of black Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus mushroom with cream coloration,-inf,-inf,
Agaricus augustus,mushroom displaying cream tones,-inf,-inf,
Agaricus augustus,cream-colored Agaricus augustus fungus,-inf,-inf,
Agaricus augustus,photograph of cream Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus mushroom with gray coloration,-inf,-inf,
Agaricus augustus,mushroom displaying gray tones,-inf,-inf,
Agaricus augustus,gray-colored Agaricus augustus fungus,-inf,-inf,
Agaricus augustus,photograph of gray Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus showing moderately textured surface,-inf,-inf,
Agaricus augustus,mushroom with moderately textured cap texture,-inf,-inf,
Agaricus augustus,moderately textured Agaricus augustus specimen,-inf,-inf,
Agaricus augustus,Agaricus augustus showing highly detailed surface,-inf,-inf,
Agaricus augustus,mushroom with highly detailed cap texture,-inf,-inf,
Agaricus augustus,highly detailed Agaricus augustus specimen,-inf,-inf,
Agaricus augustus,Agaricus augustus with irregular cap,-inf,-inf,
Agaricus augustus,mushroom displaying irregular cap,-inf,-inf,
Agaricus augustus,Agaricus augustus showing irregular cap,-inf,-inf,
Agaricus augustus,Agaricus augustus with balanced proportions,-inf,-inf,
Agaricus augustus,mushroom displaying balanced proportions,-inf,-inf,
Agaricus augustus,Agaricus augustus showing balanced proportions,-inf,-inf,
Agaricus augustus,naturally lit photograph of Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus in naturally lit conditions,-inf,-inf,
Agaricus augustus,high contrast photograph of Agaricus augustus,-inf,-inf,
Agaricus augustus,Agaricus augustus in high contrast conditions,-inf,-inf,
Agaricus augustus,Agaricus augustus with black and cream coloring and moderately textured texture,-inf,-inf,
Agaricus augustus,black Agaricus augustus mushroom with irregular cap,-inf,-inf,
Agaricus augustus,Agaricus augustus showing rough surface,-inf,-inf,
Agaricus augustus,mushroom with rough cap texture,-inf,-inf,
Agaricus augustus,rough Agaricus augustus specimen,-inf,-inf,
Agaricus augustus,Agaricus augustus with gray and black coloring and rough texture,-inf,-inf,
Agaricus augustus,gray Agaricus augustus mushroom with irregular cap,-inf,-inf,
Agaricus augustus,"Agaricus augustus with tall, narrow form",-inf,-inf,
Agaricus augustus,"mushroom displaying tall, narrow form",-inf,-inf,
Agaricus augustus,"Agaricus augustus showing tall, narrow form",-inf,-inf,
Agaricus augustus,Agaricus augustus with black and cream coloring and rough texture,-inf,-inf,
Agaricus augustus,Agaricus augustus mushroom with brown coloration,-inf,-inf,
Agaricus augustus,mushroom displaying brown tones,-inf,-inf,
