error report
==================================================

Total Top-1 Errors: 90857

1. Top-5 totally wrong class:
   Fomitopsis pinicola: 5040times
   Laetiporus sulphureus: 3575times
   Fomes fomentarius: 2745times
   Leccinum scabrum: 2210times
   Ganoderma applanatum: 2155times
   Boletus edulis: 2040times
   Cerioporus squamosus: 2015times
   Trichaptum biforme: 1685times
   Flammulina velutipes: 1490times
   Schizophyllum commune: 1475times
   Fomitopsis betulina: 1360times
   Trametes versicolor: 1315times
   Armillaria mellea: 1260times
   Amanita muscaria: 1250times
   Hypholoma fasciculare: 1130times
   Kuehneromyces mutabilis: 1075times
   Daedaleopsis confragosa: 1025times
   Coprinus comatus: 965times
   Merulius tremellosus: 960times
   Trametes ochracea: 955times
   Sarcomyxa serotina: 950times
   Paxillus involutus: 920times
   Entoloma abortivum: 880times
   Cantharellus cibarius: 880times
   Bjerkandera adusta: 875times
   Trametes gibbosa: 850times
   Xanthoria parietina: 840times
   Lycoperdon perlatum: 810times
   Parmelia sulcata: 795times
   Psathyrella candolleana: 775times
   Hypholoma lateritium: 765times
   Hygrophoropsis aurantiaca: 750times
   Suillus luteus: 745times
   Amanita pantherina: 720times
   Amanita persicina: 700times
   Psilocybe ovoideocystidiata: 695times
   Leccinum aurantiacum: 655times
   Hypogymnia physodes: 645times
   Armillaria borealis: 635times
   Amanita calyptroderma: 620times
   Coprinellus micaceus: 600times
   Armillaria tabescens: 595times
   Phyllotopsis nidulans: 585times
   Macrolepiota procera: 585times
   Apioperdon pyriforme: 570times
   Amanita amerirubescens: 545times
   Leccinum versipelle: 535times
   Gymnopilus luteofolius: 515times
   Panellus stipticus: 510times
   Pleurotus pulmonarius: 500times
   Pleurotus ostreatus: 490times
   Imleria badia: 490times
   Tricholomopsis rutilans: 480times
   Volvopluteus gloiocephalus: 460times
   Psilocybe caerulescens: 460times
   Boletus pallidus: 450times
   Trametes betulina: 445times
   Lycoperdon pyriforme: 440times
   Phallus impudicus: 435times
   Chlorophyllum molybdites: 435times
   Lactarius turpis: 435times
   Tricholoma murrillianum: 430times
   Leccinum albostipitatum: 425times
