epoch,batch,train_loss,val_top1,val_top5,val_balanced,val_f1,val_loss,learning_rate,temperature,grad_norm
1,20,6.593774,,,,,,3.12e-06,0.0075,0.0
1,40,6.528318,,,,,,6.25e-06,0.0075,0.0
1,60,6.028149,,,,,,9.37e-06,0.0075,0.0
1,80,5.752836,,,,,,1.25e-05,0.0075,0.0
1,100,5.350976,,,,,,1.56e-05,0.0075,0.0
1,120,5.309138,,,,,,1.87e-05,0.0075,0.0
1,140,5.015285,,,,,,2.19e-05,0.0075,0.0
1,160,4.856630,,,,,,2.50e-05,0.0075,0.0
1,180,4.642696,,,,,,2.81e-05,0.0075,0.0
1,200,4.469073,,,,,,3.13e-05,0.0075,0.0
1,220,4.348252,,,,,,3.44e-05,0.0075,0.0
1,240,4.221783,,,,,,3.75e-05,0.0075,0.0
1,260,3.946757,,,,,,4.06e-05,0.0075,0.0
1,280,3.722571,,,,,,4.37e-05,0.0075,0.0
1,300,3.528313,,,,,,4.69e-05,0.0075,0.0
1,320,3.304948,,,,,,5.00e-05,0.0075,0.0
1,340,3.099002,,,,,,5.31e-05,0.0075,0.0
1,360,2.914184,,,,,,5.62e-05,0.0075,0.0
1,380,2.907318,,,,,,5.94e-05,0.0075,0.0
1,-1,4.624737,0.424949,0.724193,0.378860,0.336776,2.664647,,,,
2,20,2.691073,,,,,,6.31e-05,0.0075,0.0
2,40,2.510080,,,,,,6.62e-05,0.0075,0.0
2,60,2.433124,,,,,,6.94e-05,0.0075,0.0
2,80,2.376222,,,,,,7.25e-05,0.0075,0.0
2,100,2.240545,,,,,,7.56e-05,0.0075,0.0
2,120,2.187752,,,,,,7.88e-05,0.0075,0.0
2,140,2.076309,,,,,,8.19e-05,0.0075,0.0
2,160,2.033853,,,,,,8.50e-05,0.0075,0.0
2,180,2.002068,,,,,,8.81e-05,0.0075,0.0
2,200,1.962464,,,,,,9.12e-05,0.0075,0.0
2,220,1.887602,,,,,,9.44e-05,0.0075,0.0
2,240,1.892779,,,,,,9.75e-05,0.0075,0.0
2,260,1.651192,,,,,,1.01e-04,0.0075,0.0
2,280,1.714091,,,,,,1.04e-04,0.0075,0.0
