split,model,top1,top5,balanced_acc,macro_f1
val,random,0.0060835040983606556,0.029585798816568046,0.006312744651369523,0.005317202399112636
val,majority,0.003201844262295082,0.015496926229508197,0.005917159763313609,3.7770712136560766e-05
val,zero-shot-plain,0.20133196721311475,0.37762551229508196,0.12202452463409516,0.08769651200341039
val,zero-shot-attr,0.20043545081967212,0.37640881147540983,0.12134176499844446,0.08757796567096965
val,zero-shot-enriched,0.2067751024590164,0.38114754098360654,0.1168922588725596,0.08476903379785238
test,random,0.0071730498270782634,0.029585798816568046,0.0069129044540821106,0.00582288314694991
test,majority,0.0032662994748302804,0.01556295632125016,0.005917159763313609,3.852858575537748e-05
test,zero-shot-plain,0.19783527603432816,0.37517612399128986,0.1211177852314524,0.08473140788117679
test,zero-shot-attr,0.19706673498142693,0.3733828615345203,0.12023011332013842,0.0846934559517275
test,zero-shot-enriched,0.20270270270270271,0.37850646855386194,0.11357026676331844,0.08311599414163144
